PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
39792423,Association of diabetes mellitus with long-term prognosis after ablation therapy for patients with hepatocellular carcinoma: A single-center cohort study.,2024 Dec 1,,,
39792408,Apatinib and trastuzumab-based chemotherapy for heavily treated primary trastuzumab-resistant metastatic breast cancer.,2024 Dec 1,,,
39792406,Recent research progress on microRNAs from mesenchymal stem cell-derived exosomes for tumor therapy: A review.,2024 Dec 1,,,
39792400,High-Cost Cancer Drug Use in Medicare Advantage and Traditional Medicare.,2025 Jan 3,,,
39792384,Attributable Risk and Consequences of Bone Mineral Density Deficits in Childhood Cancer Survivors.,2025 Jan 2,,,
39792378,Establishing a living biobank of pediatric high-grade glioma and ependymoma suitable for cancer pharmacology.,2025 Jan 10,,,
39792365,Multifunctional Cu(3)BiS(3)-BP@PEI Radiosensitizer with Enhanced Reactive Oxygen Species Activity for Multimodal Synergistic Therapy.,2025 Jan 10,,,
39792364,The histone lactylation of AIM2 influences the suppression of ferroptosis by ACSL4 through STAT5B and promotes the progression of lung cancer.,2025 Jan 15,,,
39792324,Do you know your PSMA-tracer? Variability in the biodistribution of different PSMA ligands and its potential impact on defining PSMA-positivity prior to PSMA-targeted therapy.,2025 Jan 10,,,
39792304,Preclinical evaluation of the potential PARP-imaging probe [carbonyl-(11)C]DPQ.,2025 Jan 10,,,
39792295,"MicroRNA dynamics, PTEN/PI3K/AKT signaling, and their relationship to breast cancer: prospects for pharmaceuticals and natural product application.",2025 Jan 10,,,
39792262,Influence of radiotherapy on cardiac implantable devices and leads-aÂ single-institution analysis and critical evaluation of current guidelines.,2025 Jan 10,,,
39792256,A systematic review of salivary gland hypofunction and/or xerostomia induced by non-surgical cancer therapies: prevention strategies.,2025 Jan 10,,,
39792239,Strategies to enhance management of HER2-positive breast cancer in the elderly: an expert consensus perspective.,2025 Jan 10,,,
39792236,Clinical practice guidelines for management of disseminated intravascular coagulation in Japan 2024. Part 3: solid cancers and vascular abnormalities.,2025 Jan 10,,,
39792200,"Assessment of decision-making with locally run and web-based large language models versus human board recommendations in otorhinolaryngology, head and neck surgery.",2025 Jan 10,,,
39792198,Targeting on the PI3K/mTOR: a potential treatment strategy for clear cell ovarian carcinoma.,2025 Jan 10,,,
39792181,Endoglin as a predictive biomarker for pemetrexed sensitivity in non-small-cell lung cancer: a cellular study.,2025 Jan 10,,,
39792164,Current status and trend of global research on the pharmacological effects of emodin family: bibliometric study and visual analysis.,2025 Jan 10,,,
39792158,Efficacy of immune checkpoint inhibitors in renal cell carcinoma venous tumour thrombus shrinkage (UroCCR 128).,2025 Jan 10,,,
